"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","4/2/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","4/2/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","4/3/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","4/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","4/3/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","4/3/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","4/3/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","4/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","15","BOTELLA","14.7","220.5","39.69","260.19","","4/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","4/2/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","4/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","4/4/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","4/4/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","","4/3/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","4/3/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","4/3/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","4/3/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","4/2/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","4/2/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","4/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","7","BOTELLA","14.7","102.9","18.52","121.42","","4/3/2024"
